Student ID,Age,Gender,Socioeconomic Status,Average Grade,Attendance Rate,Motivation Level,Study Hours/Week,Extracurricular Participation,Performance,Report
1,19,0,1,3.8,81,1,19,1,0,"
==============================
 STUDENT PERFORMANCE REPORT
==============================

Predicted Performance: Needs Improvement

--- Academic Summary ---
Average Grade: 3.8
Attendance Rate: 81.0%
Study Hours/Week: 19.0

--- Analysis ---
⚠ Weak academic performance

--- Personalized Suggestions ---
- Focus on weak subjects immediately
- Follow a strict study schedule

Note: Prediction is based on ML model.

==============================
"
2,20,0,2,3.9,97,1,18,0,0,"
==============================
 STUDENT PERFORMANCE REPORT
==============================

Predicted Performance: Needs Improvement

--- Academic Summary ---
Average Grade: 3.9
Attendance Rate: 97.0%
Study Hours/Week: 18.0

--- Analysis ---
⚠ Weak academic performance

--- Personalized Suggestions ---
- Focus on weak subjects immediately
- Follow a strict study schedule
- Participate in extracurricular activities

Note: Prediction is based on ML model.

==============================
"
3,18,0,0,4.0,92,1,10,0,0,"
==============================
 STUDENT PERFORMANCE REPORT
==============================

Predicted Performance: Needs Improvement

--- Academic Summary ---
Average Grade: 4.0
Attendance Rate: 92.0%
Study Hours/Week: 10.0

--- Analysis ---
⚠ Weak academic performance

--- Personalized Suggestions ---
- Focus on weak subjects immediately
- Follow a strict study schedule
- Slightly increase study hours
- Participate in extracurricular activities

Note: Prediction is based on ML model.

==============================
"
4,20,1,2,2.7,88,0,8,1,0,"
==============================
 STUDENT PERFORMANCE REPORT
==============================

Predicted Performance: Needs Improvement

--- Academic Summary ---
Average Grade: 2.7
Attendance Rate: 88.0%
Study Hours/Week: 8.0

--- Analysis ---
⚠ Weak academic performance
⚠ Low study time

--- Personalized Suggestions ---
- Focus on weak subjects immediately
- Follow a strict study schedule
- Increase study hours to 15 hrs/week
- Work on improving motivation

Note: Prediction is based on ML model.

==============================
"
5,20,0,1,3.5,98,0,12,1,0,"
==============================
 STUDENT PERFORMANCE REPORT
==============================

Predicted Performance: Needs Improvement

--- Academic Summary ---
Average Grade: 3.5
Attendance Rate: 98.0%
Study Hours/Week: 12.0

--- Analysis ---
⚠ Weak academic performance

--- Personalized Suggestions ---
- Focus on weak subjects immediately
- Follow a strict study schedule
- Slightly increase study hours
- Work on improving motivation

Note: Prediction is based on ML model.

==============================
"
6,17,1,0,3.3,92,2,21,0,0,"
==============================
 STUDENT PERFORMANCE REPORT
==============================

Predicted Performance: Needs Improvement

--- Academic Summary ---
Average Grade: 3.3
Attendance Rate: 92.0%
Study Hours/Week: 21.0

--- Analysis ---
⚠ Weak academic performance

--- Personalized Suggestions ---
- Focus on weak subjects immediately
- Follow a strict study schedule
- Participate in extracurricular activities

Note: Prediction is based on ML model.

==============================
"
7,18,1,0,3.1,90,0,13,1,0,"
==============================
 STUDENT PERFORMANCE REPORT
==============================

Predicted Performance: Needs Improvement

--- Academic Summary ---
Average Grade: 3.1
Attendance Rate: 90.0%
Study Hours/Week: 13.0

--- Analysis ---
⚠ Weak academic performance

--- Personalized Suggestions ---
- Focus on weak subjects immediately
- Follow a strict study schedule
- Slightly increase study hours
- Work on improving motivation

Note: Prediction is based on ML model.

==============================
"
8,18,1,1,3.1,80,0,5,0,0,"
==============================
 STUDENT PERFORMANCE REPORT
==============================

Predicted Performance: Needs Improvement

--- Academic Summary ---
Average Grade: 3.1
Attendance Rate: 80.0%
Study Hours/Week: 5.0

--- Analysis ---
⚠ Weak academic performance
⚠ Low study time

--- Personalized Suggestions ---
- Focus on weak subjects immediately
- Follow a strict study schedule
- Increase study hours to 15 hrs/week
- Work on improving motivation
- Participate in extracurricular activities

Note: Prediction is based on ML model.

==============================
"
9,18,1,1,3.2,86,1,18,0,0,"
==============================
 STUDENT PERFORMANCE REPORT
==============================

Predicted Performance: Needs Improvement

--- Academic Summary ---
Average Grade: 3.2
Attendance Rate: 86.0%
Study Hours/Week: 18.0

--- Analysis ---
⚠ Weak academic performance

--- Personalized Suggestions ---
- Focus on weak subjects immediately
- Follow a strict study schedule
- Participate in extracurricular activities

Note: Prediction is based on ML model.

==============================
"
10,20,0,1,3.6,94,2,15,0,0,"
==============================
 STUDENT PERFORMANCE REPORT
==============================

Predicted Performance: Needs Improvement

--- Academic Summary ---
Average Grade: 3.6
Attendance Rate: 94.0%
Study Hours/Week: 15.0

--- Analysis ---
⚠ Weak academic performance

--- Personalized Suggestions ---
- Focus on weak subjects immediately
- Follow a strict study schedule
- Participate in extracurricular activities

Note: Prediction is based on ML model.

==============================
"
