Student ID,Age,Gender,Socioeconomic Status,Average Grade,Attendance Rate,Motivation Level,Study Hours/Week,Extracurricular Participation
1,19,F,Middle-Class,3.8,81,Low,19,Yes
2,20,F,Upper-Class,3.9,97,Low,18,No
3,18,F,Low-Income,4,92,Low,10,No
4,20,M,Upper-Class,2.7,88,High,8,Yes
5,20,F,Middle-Class,3.5,98,High,12,Yes
6,17,M,Low-Income,3.3,92,Medium,21,No
7,18,M,Low-Income,3.1,90,High,13,Yes
8,18,M,Middle-Class,3.1,80,High,5,No
9,18,M,Middle-Class,3.2,86,Low,18,No
10,20,F,Middle-Class,3.6,94,Medium,15,No
11,19,F,Upper-Class,3.5,80,High,7,Yes
12,18,M,Upper-Class,3.2,91,High,13,No
13,20,M,Low-Income,2.6,86,Low,18,Yes
14,17,M,Middle-Class,2.6,94,Low,13,Yes
15,19,F,Low-Income,2.5,98,High,8,Yes
16,17,M,Low-Income,4,80,Medium,8,Yes
17,19,M,Low-Income,2.5,96,Medium,12,No
18,20,F,Low-Income,2.7,96,Low,6,Yes
19,16,F,Middle-Class,3,82,Low,13,No
20,19,M,Low-Income,3.8,91,High,18,No
21,17,F,Middle-Class,4,85,Low,13,Yes
22,20,F,Middle-Class,3.8,90,High,20,No
23,19,M,Upper-Class,3.6,82,Medium,21,No
24,16,F,Middle-Class,3.3,87,Medium,20,Yes
25,16,M,Upper-Class,2.6,93,High,16,No
26,18,F,Middle-Class,4,93,Low,7,No
27,18,M,Middle-Class,3.7,89,Medium,15,No
28,17,M,Middle-Class,3.5,81,Low,18,No
29,19,M,Upper-Class,3.7,93,Medium,22,Yes
30,19,F,Upper-Class,3.7,88,High,9,No
31,18,M,Low-Income,3.5,82,High,20,No
32,19,F,Upper-Class,4.1,87,High,9,No
33,19,M,Upper-Class,3.9,95,Medium,7,No
34,16,M,Upper-Class,3.5,81,Low,16,Yes
35,18,F,Upper-Class,3.6,85,Low,5,No
36,20,M,Low-Income,2.6,91,Low,13,Yes
37,18,M,Upper-Class,3.6,84,Medium,13,No
38,20,F,Middle-Class,2.6,81,Medium,8,Yes
39,16,M,Middle-Class,3.4,95,Medium,7,Yes
40,17,M,Upper-Class,4.1,84,Medium,21,Yes
41,19,M,Upper-Class,3.4,94,Medium,6,Yes
42,16,M,Middle-Class,3.3,91,Low,5,Yes
43,19,F,Middle-Class,3,83,Medium,12,No
44,17,F,Low-Income,2.7,94,Medium,17,No
45,17,M,Middle-Class,3.7,90,Low,19,No
46,16,F,Middle-Class,2.8,95,Medium,12,Yes
47,17,M,Upper-Class,2.7,85,Low,16,No
48,20,F,Middle-Class,3.2,93,Low,16,Yes
49,17,M,Low-Income,3.8,97,High,18,Yes
50,19,M,Middle-Class,3.7,91,High,19,No
51,19,M,Upper-Class,2.6,90,High,19,No
52,19,M,Upper-Class,3.2,92,High,13,Yes
53,19,M,Middle-Class,3.3,90,Medium,12,Yes
54,20,M,Upper-Class,3.5,95,High,10,No
55,18,F,Low-Income,3.5,94,Low,8,No
56,16,M,Low-Income,3.1,94,Medium,11,No
57,19,F,Middle-Class,3.4,83,High,8,No
58,17,M,Middle-Class,3.3,90,Low,16,Yes
59,19,F,Middle-Class,3.9,98,Medium,17,No
60,17,F,Upper-Class,3.3,94,Medium,7,No
61,17,F,Low-Income,3.2,83,High,16,No
62,19,M,Low-Income,3.1,92,Medium,6,Yes
63,20,M,Upper-Class,3.4,98,Low,6,Yes
64,17,F,Low-Income,3.8,81,Medium,13,Yes
65,17,M,Middle-Class,3.4,93,Low,5,Yes
66,19,F,Middle-Class,3.6,83,Medium,12,No
67,17,M,Middle-Class,3.7,95,High,10,Yes
68,17,F,Low-Income,3.3,99,Low,10,No
69,19,F,Middle-Class,3.2,93,Medium,22,No
70,19,M,Upper-Class,3.9,94,Medium,21,No
71,16,F,Upper-Class,3.2,82,Medium,16,No
72,20,M,Low-Income,3.2,87,Low,10,Yes
73,20,F,Upper-Class,4.1,95,Low,12,Yes
74,17,F,Upper-Class,2.5,89,Low,14,Yes
75,20,M,Low-Income,2.8,83,High,5,No
76,17,M,Middle-Class,3.1,97,High,17,No
77,16,M,Middle-Class,4,81,Low,21,No
78,19,F,Middle-Class,2.6,96,Medium,7,No
79,19,M,Low-Income,2.5,92,High,12,No
80,19,F,Upper-Class,2.6,83,Low,18,Yes
81,20,F,Middle-Class,2.6,90,Medium,7,No
82,16,M,Middle-Class,2.6,86,High,20,Yes
83,20,M,Low-Income,3.3,91,Medium,17,No
84,20,F,Middle-Class,3.4,89,Medium,21,No
85,16,F,Low-Income,2.9,86,Medium,17,Yes
86,16,M,Upper-Class,3.1,92,Medium,10,Yes
87,16,M,Low-Income,2.6,86,High,21,No
88,16,M,Low-Income,3,96,High,18,No
89,19,M,Low-Income,3.3,89,High,21,No
90,18,M,Low-Income,3.7,89,Low,12,No
91,18,F,Upper-Class,2.5,83,High,15,Yes
92,16,F,Upper-Class,3.2,99,Medium,5,No
93,18,F,Middle-Class,3,83,High,11,Yes
94,18,F,Upper-Class,3.9,86,Medium,21,No
95,16,M,Upper-Class,3.6,80,Low,14,Yes
96,18,M,Middle-Class,3.4,91,Medium,15,Yes
97,20,M,Upper-Class,2.9,92,Medium,13,No
98,17,F,Low-Income,4,89,Medium,13,Yes
99,17,F,Low-Income,2.6,94,Low,9,No
